Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
21,M-5666,AM THYROVISION LABORATORIES PRIVATE LIMITED,nabl042477,2022,Medical,First Accreditation,MOHAMMAD AMAN,cronusquality@gmail.com,8130695783,"D91 A, 100 FEET RD, PHASE 1, CHHATARPUR ENCLAVE PHASE 2",Delhi,Delhi,110074,Accreditation Certificate Approved and Issued,Haematology,,MC-7746,10/11/2025,09/11/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
22,M-5545,ICBIO CLINICAL RESEARCH PVT. LTD.,nabl042489,2022,Medical,First Accreditation,HARISH S,harish@icbiocro.com,9900111997,"No. 2, Survey No. 8/1/2, Devi Circle Chikkabettahalli, Vidyaranyapura",Karnataka,Bengaluru,560097,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7686,14/10/2025,13/10/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
23,M-5621,CSC HEALTHCARE & WELLNESS SERVICES LIMITED,nabl042498,2022,Medical,First Accreditation,Dr Prasuna Chilveri,labdirector.karimnagar@cschealthcare.in,7799319498,"# 2-10-821, FIRST FLOOR, PLOT NO. 101 & 102, JAYA TOWERS, JYOTHI NAGAR",Telangana,Karimnagar,505001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7477,01/07/2025,30/06/2029,,,Archive Applications,May 13 2026 7:30AM
24,M-5833,RAHMAN HOSPITALS Private Limited,nabl042499,2022,Medical,First Accreditation,NAZNIN RASHID,rhpl.nabl@gmail.com,8472838896,"CHACAL,VIP ROAD",Assam,Guwahati,781022,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Hematology & Immunohematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7861,01/01/2026,31/12/2029,,,Gayathri S,May 13 2026 7:30AM
25,M-5577,REDCLIFFE LIFETECH PRIVATE LIMITED,nabl042506,2022,Medical,First Accreditation,Pradeep Kumar,pradeep.chaudhary@redcliffelabs.com,8979891946,"OFFICE NO 1, FIRST FLOOR, B WING, ASWANI CHAMBERS, S. NO. 199+204+205 206/1, 209/1, PLOT NO. 45/B, CORRESPONDING CITY S. NO. 199 VILLAGE LOHGAON",Maharashtra,Pune,411014,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7407,03/06/2025,02/06/2029,,,Archive Applications,May 13 2026 7:30AM
26,M-5531,SANKALP LABS (A UNIT OF SANKALP INDIA FOUNDATION),nabl042527,2022,Medical,First Accreditation,BALASUBRAMANI,manjunatha@sankalpindia.net,8883186388,"GRACE MAYUR #32, MILLERS TANK BUND ROAD, VASANTHNAGAR",Karnataka,Bengaluru,560052,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7519,18/07/2025,17/07/2029,,,Archive Applications,May 13 2026 7:30AM
27,M-5608,TERESA MEMORIAL HOSPITAL LLP,nabl042552,2022,Medical,First Accreditation,SHREOSEE ROY,teresa.labinfo@gmail.com,7031272860,"PLOT-2044, NH 2, BAMCHANDAIPUR",West Bengal,Burdwan,713103,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7444,17/06/2025,16/06/2029,,,Gayathri S,May 13 2026 7:30AM
28,M-5588,HEALTHYCIAN (A UNIT OF HEALTHNODE BIOSCIENCE PRIVATE LIMITED),nabl042556,2022,Medical,First Accreditation,PRIYANK JAISWAL,priyankhealthycian@gmail.com,8910998773,"20/1/5, BHAGWAN CHATTERJEE LANE, KADAMTALA",West Bengal,Howrah,711104,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7386,27/05/2025,26/05/2029,,,Archive Applications,May 13 2026 7:30AM
29,M-5525,CLINITECH LABORATORY LIMITED,nabl042561,2022,Medical,Renewal of Accreditation,SURAJ BRAMHANE,drsurajbramhane@clinitechlab.com,8104448277,"ROW HOUSE NO. U-03, SECTOR-04, AIROLI",Maharashtra,Navi Mumbai,400706,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7562,14/08/2025,13/08/2029,,,Gayathri S,May 13 2026 7:30AM
30,M-5540,CADABAMS DIAGNOSTICS LLP,nabl042584,2022,Medical,First Accreditation,Prathibha L C,labhead@cadabamsdiagnostics.com,9880522076,"NO. 1/A, 1ST BLOCK, BHAVANI HBCS, BANASHANKARI 3RD STAGE",Karnataka,Bengaluru,560070,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7469,27/06/2025,26/06/2029,,,Archive Applications,May 13 2026 7:30AM
31,M-5704,ARBOR VITAE HEALTH INITIATIVES PRIVATE LIMITED,nabl042589,2022,Medical,First Accreditation,MR BANAJIT MEDHI,lab.avhi.nabl@gmail.com,7002563707,"S.B.PLAZA , KAMRUP METRO",Assam,Guwahati,781006,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7756,15/11/2025,14/11/2029,,,Archive Applications,May 13 2026 7:30AM
32,M-5587,LEUCINE RICH BIO PVT. LTD.,nabl042592,2022,Medical,First Accreditation,KUMAR SANKARAN,labcalvin007@gmail.com,6361628650,"PHASE 4, NO. 33, 2ND FLOOR, HSG ANUSH, 15TH MAIN ROAD, J.P. NAGAR",Karnataka,Bengaluru,560078,Accreditation Certificate Approved and Issued,Molecular Testing,,MC-7516,18/07/2025,17/07/2029,,,Archive Applications,May 13 2026 7:30AM
33,M-5601,RXVITAL HEALTHCARE PRIVATE LIMITED,nabl042595,2022,Medical,First Accreditation,TUHIN BISWAS,rxvitalnabl@gmail.com,8697603314,"844, PURBACHAL MAIN ROAD",West Bengal,Kolkata,700078,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7408,03/06/2025,02/06/2029,,,Archive Applications,May 13 2026 7:30AM
34,M-5604,DURGA DIAGNOSTICS PRIVATE LIMITED,nabl042601,2022,Medical,First Accreditation,VIJAY KUMAR,addurgadiagnostics@gmail.com,9958116337,"Shop No. 565, Panna, Karala, Kanjhawala Road, North West",Delhi,New Delhi,110081,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7599,09/09/2025,08/09/2029,,,Archive Applications,May 13 2026 7:30AM
35,M-5825,MICROBE DIAGNOSTIC CENTRE (A UNIT OF SPS DIAGNOMICROBE CENTRE LLP),nabl042603,2022,Medical,First Accreditation,SYED NAZRUL ISLAM,snazrulislam67@gmail.com,8777013325,"740 BAKHRAHAT ROAD, THAKURPUKUR",West Bengal,Kolkata,700063,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7879,14/01/2026,13/01/2030,,,Gayathri S,May 13 2026 7:30AM
36,M-5600,"SRM DIAGNOSTICS, A UNIT OF SRM MEDICAL CARE PVT. LTD.",nabl042605,2022,Medical,First Accreditation,G SAMPATH KUMAR,manager.quality@srmdiagnostics.com,8925919905,"No. 129, S BLOCK, 3RD FLOOR, BALAKRISHNA NAGAR, SRM IST RAMAPURAM CAMPUS",Tamil Nadu,Chennai,600089,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7424,12/06/2025,11/06/2029,,,Archive Applications,May 13 2026 7:30AM
37,M-5625,VIJAY MARIE HOSPITAL AND EDUCATIONAL SOCIETY,nabl042610,2022,Medical,First Accreditation,ARSHIYA FATIMA,labnabl@vmhes.in,9032659913,"VIJAY MARIE HOSPITAL, DOOR NO:10-1-673-1, VEER NAGAR, SAIFABAD",Telangana,Hyderabad,500004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7503,12/07/2025,11/07/2029,,,Archive Applications,May 13 2026 7:30AM
38,M-5578,STERLING HOSPITAL - A UNIT OF SANJEEBANI CLINIC PVT. LTD. (DEPARTMENT OF LABORATORY SERVICES),nabl042648,2022,Medical,First Accreditation,SUDIP SINGHA,sudipsingha663@gmail.com,8967652911,"55/1, BHUPEN BOSE AVENUE",West Bengal,Kolkata,700004,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7438,17/06/2025,16/06/2029,,,Archive Applications,May 13 2026 7:30AM
39,M-5542,LIVE WELL DIAGNOSTICS,nabl042649,2022,Medical,First Accreditation,RABI NARAYAN KHUNTIA,lwdiagnostics@gmail.com,9437278278,"SAMARAIPUR, PO-PRACHINAGAR, VIA-MADHABNAGAR",Odisha,Bhadrak,756181,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7542,06/08/2025,05/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
40,M-5698,GALAXY IMAGING AND PATH LAB,nabl042666,2022,Medical,First Accreditation,NEHA RAZIA,galaxyimaginglab@gmail.com,9319933228,"PLOT NO A-64, GROUND FLOOR, SECTOR -7, PALAM EXTENSION",Delhi,New Delhi,110075,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7590,02/09/2025,01/09/2029,,,Archive Applications,May 13 2026 7:30AM
41,M-5562,PATHOGENES POLYCLINIC & DIAGNOSTICS (UNIT OF A.R.T. MEDICORP AND HOSPITALITY SOLUTIONS PRIVATE LIMITED),nabl042667,2022,Medical,First Accreditation,ADITI SEN,senaditi5@gmail.com,9830599869,"140/A, BANGUR AVENUE, BLOCK A, NORTH 24 PGS, P.O. BANGUR, LAKE TOWN",West Bengal,Kolkata,700055,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7363,19/05/2025,18/05/2029,,,Archive Applications,May 13 2026 7:30AM
42,M-5637,"THE GUJARAT RESEARCH & MEDICAL INSTITUTE, DEPARTMENT OF PATHOLOGY (A UNIT OF NEUBERG DIAGNOSTICS PRIVATE LIMITED)",nabl042676,2022,Medical,First Accreditation,ANJANA GARG,grmipathlab12@yahoo.in,9904487085,"7th Floor, Department of Pathology, The Gujarat Research & Medical Institute, Camp Road, Shahibaug",Gujarat,Ahmedabad,380004,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7333,29/04/2025,28/04/2029,,,Archive Applications,May 13 2026 7:30AM
43,M-5556,"SHRI MATA SHEETLA DEVI SWARNA JAYANTI DIAGNOSTIC CENTRE, MANAGED BY HINDLABS",nabl042689,2022,Medical,First Accreditation,PRATISHTHA RASTOGI,pratishtha.doc@gmail.com,9616118788,"MCG OFFICE BUILDING, JHARSA, SECTOR-39",Haryana,Gurugram,122003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7379,24/05/2025,23/05/2029,,,Archive Applications,May 13 2026 7:30AM
44,M-5548,"DEPARTMENT OF LABORATORY SERVICES, NEOTIA BHAGIRATHI WOMAN AND CHILD CARE CENTRE, NEW TOWN (A UNIT OF AMBUJA NEOTIA HEALTHCARE VENTURE LIMITED)",nabl042756,2022,Medical,Renewal of Accreditation,KANIKA BHATTACHARJEE,labquality.bnwcccnt@neotiahealthcare.com,9163063449,"PREMISES NO. 27-0327, STREET NO. 327, ACTION AREA 1D, NEW TOWN",West Bengal,Kolkata,700156,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7468,27/06/2025,26/06/2029,,,Archive Applications,May 13 2026 7:30AM
45,M-5915,DR. LAL PATHLABS LIMITED,nabl042812,2022,Medical,First Accreditation,ADITI KAPOOR,aditi.kapoor@lalpathlabs.com,9917022263,"SHOP NO. FF-1A, 1B, 2 & 19 OF BUILDING SITUATED AT SHANTI SQUAR BUILDING AT KHASRA NO. 189, MAUZA NAGLA PADI, DAYAL BAGH ROAD",Uttar Pradesh,Agra,282005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-7951,11/02/2026,10/02/2030,,,Archive Applications,May 13 2026 7:30AM
46,M-5724,"MOLECULAR DIAGNOSTIC FACILITY, INSTITUTE OF ADVANCED VIROLOGY",nabl042824,2022,Medical,First Accreditation,ASWATHYRAJ S,aswathyraj@iav.res.in,7204118264,"Bio 360 LIFE SCIENCES PARK, THONNAKKAL, MANGALAPURAM",Kerala,Thiruvananthapuram,695305,Accreditation Certificate Approved and Issued,Molecular Testing,,MC-7578,26/08/2025,25/08/2029,,,Archive Applications,May 13 2026 7:30AM
47,M-5747,INDIRA PATH LABS,nabl042834,2022,Medical,First Accreditation,VISHAL WABLE,vishal.wable@indirapathlabs.in,9421181297,"1st FLOOR, SHYAM HOUSE, PLOT NO. 3, AMRAPALI MARG, AMRAPALI CIRCLE, VAISHALI NAGAR",Rajasthan,Jaipur,302021,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7679,09/10/2025,08/10/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
48,M-5609,"STATE VIRAL RESEARCH AND DIAGNOSTIC LABORATORY, ALL INDIA INSTITUTE OF MEDICAL SCIENCES",nabl042863,2022,Medical,First Accreditation,DR SANJAY SINGH NEGI,negidr@yahoo.co.in,8518881779,"First Floor, Department of Microbiology, College Building, Gate No. 5, AIIMS",Chhattisgarh,Raipur,492099,Accreditation Certificate Approved and Issued,Molecular Testing,",--Select Group--",MC-7534,01/08/2025,31/07/2029,,,Archive Applications,May 13 2026 7:30AM
49,M-5613,SU-VISHWAS DIAGNOSTIC LAB,nabl042865,2022,Medical,First Accreditation,SANDHYA SAOJI,sandhyasaoji@yahoo.com,9960334104,"116,117,118, 1ST FLOOR, MIDAS HEIGHTS, CENTRAL BAZAR ROAD, RAMDASPETHE",Maharashtra,Nagpur,440010,Accreditation Certificate Approved and Issued,Molecular Testing,,MC-7581,28/08/2025,27/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
50,M-5573,"BALAJEE DIAGNOSTICS, A UNIT OF BYS HEALTHCARE LLP",nabl042875,2022,Medical,First Accreditation,ALI HUSEN,balajeediagnosticsquality@gmail.com,7800496072,"KHASRA NO. 233 N 244, MALHPUR WARD, HAIDERGANJ KANPUR BYPASS ROAD",Uttar Pradesh,Lucknow,226001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7518,18/07/2025,17/07/2029,,,Archive Applications,May 13 2026 7:30AM
51,M-5606,PULSE DIAGNOSTICS PVT. LTD.,nabl042880,2022,Medical,First Accreditation,RABINDRA DIDWANIA,rabindra@pulsediagnostics.co.in,7439512230,"MARWARI RELIEF SOCIETY HOSPITAL, 225 / 227 RABINDRA SARANI",West Bengal,Kolkata,700007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",",--Select Group--",MC-7395,30/05/2025,29/05/2029,,,Archive Applications,May 13 2026 7:30AM
52,M-5902,DIVINE MULTI SPECIALITY HOSPITAL (A UNIT OF DIVINE RESEARCH AND HOSPITAL PRIVATE LIMITED),nabl042918,2022,Medical,First Accreditation,VANDANA SONI,ddivinehr@gmail.com,9163655038,"11A, 46 & 41/1B, ABINASH CHANDRA BANERJEE LANE",West Bengal,Kolkata,700010,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-7922,30/01/2026,29/01/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
53,M-5828,DR LAL PATHLABS LIMITED,nabl042974,2022,Medical,First Accreditation,UTKARSHNI,Utkarshni@LALPATHLABS.COM,8725058154,"PURABI PLOT NO 2084/4837, GAUTAM NAGAR",Odisha,Bhubaneswar,751014,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7753,13/11/2025,12/11/2029,,,Gayathri S,May 13 2026 7:30AM
54,M-5804,DR. LAL PATHLABS LIMITED,nabl042987,2022,Medical,First Accreditation,SUSHRITA MUKHERJEE,Sushrita.Mukherjee@lalpathlabs.com,9525646920,"1ST FLOOR, SOURABH TOWER, PLOT NO. 615, BARIATU ROAD",Jharkhand,Ranchi,834008,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7712,30/10/2025,29/10/2029,,,Gayathri S,May 13 2026 7:30AM
55,M-5584,"DEPARTMENT OF LABORATORY SERVICES, RELIANCE DIAGNOSCTICS",nabl042991,2022,Medical,First Accreditation,RUPASRI BHATTACHARYA,rupasrib@hotmail.com,9830373142,"PLOT No. 337, AE BLOCK, SALT LAKE CITY",West Bengal,Bidhannagar,700064,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7365,19/05/2025,18/05/2029,,,Archive Applications,May 13 2026 7:30AM
56,M-5755,NATIONAL HOSPITAL LABORATORY,nabl042995,2022,Medical,First Accreditation,DR PREETI,sdeducationals@gmail.com,9466473974,"DHANI GARAN ROAD, BARWALA",Haryana,Hisar,125121,Accreditation Certificate Approved and Issued,Haematology,,MC-7736,06/11/2025,05/11/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
57,M-5616,"LABORATORY ONCOLOGY, DR. BRA-IRCH, AIIMS",nabl042999,2022,Medical,First Accreditation,RITU GUPTA,drritugupta@gmail.com,9873433275,"LABORATORY ONCOLOGY, DR. BRA-IRCH, AIIMS",Delhi,New Delhi,110029,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing,Haematology",,MC-7621,16/09/2025,15/09/2029,,,Archive Applications,May 13 2026 7:30AM
58,M-5622,DR VIJAY & B LAL IMAGING AND DIAGNOSTIC CENTER LLP,nabl043008,2022,Medical,First Accreditation,VIJAY MOOND,drvijayblal@gmail.com,9413399121,"DWARKA WARD NO. 34 (OLD), 33 (NEW)",Rajasthan,Sikar,332001,Accreditation Certificate Approved and Issued,"MI CAB - CT,MI CAB - MRI,MI CAB - Ultrasound and Color Doppler,MI CAB - Projectional Radiography and Fluoroscopy,Haematology,Clinical Pathology",,MC-7505,12/07/2025,11/07/2029,,,Archive Applications,May 13 2026 7:30AM
59,M-5593,UNIQUE LABS A UNIT OF BIG BULLS LIFE SCIENCES PVT. LTD.,nabl043015,2022,Medical,First Accreditation,ANKIT P BHOJANI,labcalvin007@gmail.com,6361628650,"NO. 1761, NAVRANG CIRCLE, DR RAJKUMAR ROAD, 2ND BLOCK, RAJAJINAGAR",Karnataka,Bengaluru,560010,Accreditation Certificate Approved and Issued,Microbiology & Infectious disease serology,,MC-7560,12/08/2025,11/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
60,M-5574,MODERN DIAGNOSTIC & RESEARCH CENTRE LIMITED,nabl043024,2022,Medical,Renewal of Accreditation,SATISH KUMAR MAGU,satishmagu@gmail.com,9717847836,"363-364/4, JAWAHAR NAGAR, NEW RAILWAY ROAD",Haryana,Gurgaon,122001,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-7157,07/09/2025,06/09/2029,,16/09/2025,Archive Applications,May 13 2026 7:30AM
61,M-5662,SPECTRA LABORATORIES (A UNIT OF SPECTRA HOSPITAL SERVICES PVT. LTD.),nabl043028,2022,Medical,First Accreditation,SARAVANAN,spectralabnabl@gmail.com,9380701333,"NO: 15/2, OLD NO : 24/2, ARUNACHALAM ROAD, SALIGRAMAM",Tamil Nadu,Chennai,600093,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology",,MC-7601,09/09/2025,08/09/2029,,,Archive Applications,May 13 2026 7:30AM
62,M-5592,PITAMBER DIAGNOSTICS PRIVATE LIMITED,nabl043036,2022,Medical,First Accreditation,RATNESH UPADHYAY,pitamberdiagnosticslab@gmail.com,7991211717,"E-93, TRANSPORT NAGAR, KANPUR ROAD SCHEME PHASE-II, AMAR SHAHEED PATH",Uttar Pradesh,Lucknow,226012,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7385,27/05/2025,26/05/2029,,,Archive Applications,May 13 2026 7:30AM
63,M-5619,PREVIA HEALTH PVT. LTD.,nabl043047,2022,Medical,First Accreditation,RAVI BABU,centrallabhyd@previahealth.in,7780314874,"1-98 / 3 / 64 / 1, PLOT NO 64, VITTAL RAO NAGAR MADHAPUR, SHAIKPET, RANGA REDDY",Telangana,Hyderabad,500081,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7388,27/05/2025,26/05/2029,,,Archive Applications,May 13 2026 7:30AM
64,M-5589,"DEPARTMENT OF PATHOLOGY, GOVERNMENT MEDICAL COLLEGE & HOSPITAL-OMANDURAR GOVERNMENT ESTATE",nabl043152,2022,Medical,First Accreditation,PRIYADHARSHINI M,gmcogepath@gmail.com,9789084979,"169, WALLAHJAH ROAD, TRIPLICANE",Tamil Nadu,Chennai,600002,Accreditation Certificate Approved and Issued,"Cytopathology,Histopathology",,MC-7622,16/09/2025,15/09/2029,,,Archive Applications,May 13 2026 7:30AM
65,M-5727,BHATIA MEDICAL CENTRE,nabl043223,2022,Medical,First Accreditation,H S BHATIA,hotchandbhatia@yahoo.co.in,9821020694,"SHOP NO 7, GITA BUILDING A, GROUND FLOOR, PANDITA RAMABAI ROAD",Maharashtra,Mumbai,400007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,MI CAB - Projectional Radiography and Fluoroscopy,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7674,08/10/2025,07/10/2029,,,Archive Applications,May 13 2026 7:30AM
66,M-5580,ADVANCE DIAGNOSTIC CENTRE (A UNIT OF NKH MEDICARE PVT. LTD.) (DEPARTMENT OF LABORATORY SERVICES),nabl043225,2022,Medical,NABL 201,VANDANA CHANDANI,adc_korba@yahoo.com,9406036060,"C1-C2, 17/A, KOSABARI",Chhattisgarh,Korba,495677,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology",,MC-7301,06/08/2025,19/05/2026,,,Archive Applications,May 13 2026 7:30AM
67,M-5627,SHANTI SCAN CENTRE PVT. LTD. (DEPARTMENT OF LABORATORY SERVICES),nabl043239,2022,Medical,First Accreditation,MR BHASKAR DEY,shantiscancentre651@gmail.com,7980514080,"61/1/A, RAJMOHAN ROAD, KOTRUNG, UTTARPARA",West Bengal,Hooghly,712258,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7558,11/08/2025,10/08/2029,,,Gayathri S,May 13 2026 7:30AM
68,M-5985,"PG DEPARTMENT OF MICROBIOLOGY, GOVT. MEDICAL COLLEGE, JAMMU",nabl043242,2022,Medical,First Accreditation,SANDEEP DOGRA,sandeepdogra@gmail.com,9906091412,"GROUND FLOOR , OPD BLOCK, GOVT. MEDICAL COLLEGE, BAKSHI NAGAR",Jammu and Kashmir,Jammu,180001,Accreditation Certificate Approved and Issued,"Molecular Diagnostics,Microbiology & Infectious disease serology",,MC-7964,19/02/2026,18/02/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
69,M-5732,MAX LAB LIMITED,nabl043261,2022,Medical,First Accreditation,SANIA ZAHRA RIZVI,sania.rizvi@maxhealthcare.com,7318224703,"INTEGRATED KIDNEY SOLUTIONS PVT LTD, A-321, ASHOKA PARK ROAD, OPPOSITE B BLOCK, KHIZRABAD, NEW FRIENDS COLONY",Delhi,New Delhi,110025,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7565,18/08/2025,17/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
70,M-5746,INDIRA PATH LABS Unit Of Indira IVF Hospital Ltd.,nabl043272,2022,Medical,First Accreditation,VISHAL WABLE,vishal.wable@indirapathlabs.in,9421181297,"45/1-1, Woody's Building, 3rd Floor, JP Nagar, 2nd Phase",Karnataka,Bengaluru,560078,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7778,22/11/2025,21/11/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
71,M-5837,DR. LAL PATHLABS LIMITED,nabl043300,2022,Medical,First Accreditation,NEHA GUPTA,pragati.agnihotri@lalpathlabs.com,9044224791,"1ST AND 2ND FLOOR, DHANSHREE TOWER, PLOT NO. 2/C-41, SECTOR 2, VIKAS NAGAR",Uttar Pradesh,Lucknow,226022,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7893,21/01/2026,20/01/2030,,,Haribabu Aennampalli,May 13 2026 7:30AM
72,M-5624,SANCHETI ADVANCED ORTHOCARE HOSPITAL-SANCHETI DIAGNOSTIC SERVICES,nabl043304,2022,Medical,First Accreditation,YASHWANTH SHIVANNA,saoc.quality@gmail.com,9112009712,"PLOT NO. 11/2 B, CTS NO. 1398b, 1399 To 1410, THUBE PARK SHIVAJINAGAR",Maharashtra,Pune,411005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-7658,03/10/2025,02/10/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
73,M-5753,SWASTIK MEDICARE,nabl043317,2022,Medical,First Accreditation,ARGHA BISWAS,arghabiswas1988@gmail.com,8240789700,"31, PICNIC GARDEN RD, KUSTIA",West Bengal,Kolkata,700039,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7790,27/11/2025,26/11/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
74,M-5615,AIRA DIAGNOSTICS (A UNIT OF AIRA MEDICOS PRIVATE LIMITED),nabl043369,2022,Medical,First Accreditation,HARISH LAXMAN,info@airadiagnostics.com,9000047999,"PLOT NO: B-122, H.NO:2-2-1118/1/12 & 13, GROUND & FIRST FLOORS, BAGH AMBERPET, NEW NALLAKUNTA",Telangana,Hyderabad,500044,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7456,23/06/2025,22/06/2029,,,Archive Applications,May 13 2026 7:30AM
75,M-5641,LABEASY INDIA PRIVATE LIMITED,nabl043395,2022,Medical,First Accreditation,WAHIDUDDIN KHAN,mltwahid@gmail.com,8898446618,"A-814, PRANIK CHAMBERS, SAKINAKA VIHAR ROAD",Maharashtra,Mumbai,400072,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7566,18/08/2025,17/08/2029,,,Haribabu Aennampalli,May 13 2026 7:30AM
76,M-5631,OVALE DIAGNOSTICS PRIVATE LIMITED,nabl043397,2022,Medical,First Accreditation,Neeraj,ovaldiagnostic2021@gmail.com,9460117877,"SHOP NO 14, PLOT NO 5A, VISHWA NAGAR, NEW SANGANERI Road, SHYAM NAGAR",Rajasthan,Jaipur,302019,Accreditation Certificate Approved and Issued,Clinical Biochemistry,,MC-7533,01/08/2025,31/07/2029,,,Archive Applications,May 13 2026 7:30AM
